NAMELSAD,STUSPS,event_index,ISSUE_TIME,START_TIME,END_TIME
Steuben County,IN,1,202303311200,202303310100,202304031200
Orange County,TX,1,202303311200,202303310100,202304031200
Fayette County,OH,0,202303311200,202303310100,202304031200
Hampshire County,MA,2,202303311200,202303310100,202304031200
Allen County,KY,0,202303311200,202303310100,202304031200
Alamance County,NC,1,202303311200,202303310100,202304031200
Greenwood County,KS,1,202303311200,202303310100,202304031200
Suffolk County,MA,2,202303311200,202303310100,202304031200
Jefferson County,ID,0,202303311200,202303310100,202304031200
Gonzales County,TX,1,202303311200,202303310100,202304031200
Marion County,TN,0,202303311200,202303310100,202304031200
Alpena County,MI,1,202303311200,202303310100,202304031200
Wayne County,KY,0,202303311200,202303310100,202304031200
White County,TN,0,202303311200,202303310100,202304031200
Fannin County,TX,2,202303311200,202303310100,202304031200
Doniphan County,KS,1,202303311200,202303310100,202304031200
Kerr County,TX,1,202303311200,202303310100,202304031200
Hernando County,FL,0,202303311200,202303310100,202304031200
Wakulla County,FL,1,202303311200,202303310100,202304031200
Walton County,FL,1,202303311200,202303310100,202304031200
Chickasaw County,MS,1,202303311200,202303310100,202304031200
Ketchikan Gateway Borough,AK,0,202303311200,202303310100,202304031200
Clare County,MI,1,202303311200,202303310100,202304031200
Republic County,KS,1,202303311200,202303310100,202304031200
Volusia County,FL,0,202303311200,202303310100,202304031200
Canadian County,OK,1,202303311200,202303310100,202304031200
Quebradillas Municipio,PR,0,202303311200,202303310100,202304031200
St. Thomas Island,VI,0,202303311200,202303310100,202304031200
Floyd County,GA,0,202303311200,202303310100,202304031200
Churchill County,NV,0,202303311200,202303310100,202304031200
Webster County,NE,0,202303311200,202303310100,202304031200
Hancock County,IL,1,202303311200,202303310100,202304031200
Hutchinson County,SD,2,202303311200,202303310100,202304031200
Crook County,OR,1,202303311200,202303310100,202304031200
Franklin County,VT,1,202303311200,202303310100,202304031200
Marquette County,MI,0,202303311200,202303310100,202304031200
Davidson County,NC,1,202303311200,202303310100,202304031200
Clay County,IL,1,202303311200,202303310100,202304031200
Knox County,MO,1,202303311200,202303310100,202304031200
Livingston County,MO,1,202303311200,202303310100,202304031200
Tioga County,PA,3,202303311200,202303310100,202304031200
Dakota County,NE,2,202303311200,202303310100,202304031200
Leelanau County,MI,1,202303311200,202303310100,202304031200
Surry County,VA,1,202303311200,202303310100,202304031200
Refugio County,TX,0,202303311200,202303310100,202304031200
Butler County,OH,0,202303311200,202303310100,202304031200
Terrell County,GA,2,202303311200,202303310100,202304031200
Clayton County,GA,1,202303311200,202303310100,202304031200
Fremont County,WY,0,202303311200,202303310100,202304031200
Ohio County,IN,0,202303311200,202303310100,202304031200
Columbia County,GA,1,202303311200,202303310100,202304031200
Sedgwick County,CO,0,202303311200,202303310100,202304031200
Musselshell County,MT,1,202303311200,202303310100,202304031200
Dauphin County,PA,3,202303311200,202303310100,202304031200
Moody County,SD,2,202303311200,202303310100,202304031200
Putnam County,WV,0,202303311200,202303310100,202304031200
Sussex County,NJ,3,202303311200,202303310100,202304031200
Decatur County,KS,0,202303311200,202303310100,202304031200
Perry County,IN,1,202303311200,202303310100,202304031200
Union County,MS,1,202303311200,202303310100,202304031200
Boyd County,NE,2,202303311200,202303310100,202304031200
Mille Lacs County,MN,1,202303311200,202303310100,202304031200
Walsh County,ND,0,202303311200,202303310100,202304031200
Morgan County,OH,0,202303311200,202303310100,202304031200
Portage County,OH,2,202303311200,202303310100,202304031200
Uinta County,WY,0,202303311200,202303310100,202304031200
Humboldt County,NV,0,202303311200,202303310100,202304031200
Jim Hogg County,TX,0,202303311200,202303310100,202304031200
Cheyenne County,CO,0,202303311200,202303310100,202304031200
Clackamas County,OR,1,202303311200,202303310100,202304031200
Polk County,AR,2,202303311200,202303310100,202304031200
Macon County,GA,2,202303311200,202303310100,202304031200
Benton County,IN,1,202303311200,202303310100,202304031200
Morgan County,TN,0,202303311200,202303310100,202304031200
Douglas County,SD,2,202303311200,202303310100,202304031200
Worcester County,MD,1,202303311200,202303310100,202304031200
Wabash County,IL,1,202303311200,202303310100,202304031200
Huntington County,IN,1,202303311200,202303310100,202304031200
Scott County,KY,0,202303311200,202303310100,202304031200
Decatur County,IA,1,202303311200,202303310100,202304031200
Wabash County,IN,1,202303311200,202303310100,202304031200
Allen County,IN,1,202303311200,202303310100,202304031200
Marshall County,IN,1,202303311200,202303310100,202304031200
Thomas County,NE,1,202303311200,202303310100,202304031200
Sioux County,ND,0,202303311200,202303310100,202304031200
Dimmit County,TX,0,202303311200,202303310100,202304031200
Fillmore County,MN,1,202303311200,202303310100,202304031200
Chester County,SC,1,202303311200,202303310100,202304031200
Lac qui Parle County,MN,1,202303311200,202303310100,202304031200
Cache County,UT,0,202303311200,202303310100,202304031200
Pierce County,WI,1,202303311200,202303310100,202304031200
Charlton County,GA,2,202303311200,202303310100,202304031200
Polk County,GA,0,202303311200,202303310100,202304031200
McLean County,IL,1,202303311200,202303310100,202304031200
Androscoggin County,ME,1,202303311200,202303310100,202304031200
Kootenai County,ID,1,202303311200,202303310100,202304031200
Clark County,NV,0,202303311200,202303310100,202304031200
Phillips County,KS,0,202303311200,202303310100,202304031200
Holt County,NE,2,202303311200,202303310100,202304031200
Johnson County,MO,1,202303311200,202303310100,202304031200
La Crosse County,WI,1,202303311200,202303310100,202304031200
Caldwell Parish,LA,1,202303311200,202303310100,202304031200
Edmonson County,KY,0,202303311200,202303310100,202304031200
Bond County,IL,1,202303311200,202303310100,202304031200
Brown County,IL,1,202303311200,202303310100,202304031200
McLeod County,MN,1,202303311200,202303310100,202304031200
Dunn County,WI,1,202303311200,202303310100,202304031200
Custer County,CO,0,202303311200,202303310100,202304031200
Madison County,MO,1,202303311200,202303310100,202304031200
Nolan County,TX,1,202303311200,202303310100,202304031200
Wayne County,PA,3,202303311200,202303310100,202304031200
Saratoga County,NY,3,202303311200,202303310100,202304031200
Brazos County,TX,1,202303311200,202303310100,202304031200
Marshall County,OK,2,202303311200,202303310100,202304031200
Allegany County,MD,2,202303311200,202303310100,202304031200
Wetzel County,WV,1,202303311200,202303310100,202304031200
Jackson County,WI,1,202303311200,202303310100,202304031200
Clatsop County,OR,1,202303311200,202303310100,202304031200
Lewis County,WA,1,202303311200,202303310100,202304031200
Allegany County,NY,3,202303311200,202303310100,202304031200
Cedar County,IA,1,202303311200,202303310100,202304031200
Orange County,IN,1,202303311200,202303310100,202304031200
DeKalb County,GA,1,202303311200,202303310100,202304031200
Pickens County,GA,0,202303311200,202303310100,202304031200
Chouteau County,MT,1,202303311200,202303310100,202304031200
Brown County,NE,1,202303311200,202303310100,202304031200
Campbell County,TN,0,202303311200,202303310100,202304031200
Franklin County,NC,2,202303311200,202303310100,202304031200
Baltimore city,MD,2,202303311200,202303310100,202304031200
Lyon County,KS,1,202303311200,202303310100,202304031200
Carroll County,IA,1,202303311200,202303310100,202304031200
Tensas Parish,LA,1,202303311200,202303310100,202304031200
Monroe County,TN,0,202303311200,202303310100,202304031200
Hamilton County,KS,0,202303311200,202303310100,202304031200
Pocahontas County,IA,1,202303311200,202303310100,202304031200
Gem County,ID,1,202303311200,202303310100,202304031200
Independence County,AR,1,202303311200,202303310100,202304031200
Lonoke County,AR,1,202303311200,202303310100,202304031200
Newton County,IN,1,202303311200,202303310100,202304031200
Franklin County,GA,1,202303311200,202303310100,202304031200
Hendry County,FL,0,202303311200,202303310100,202304031200
Taliaferro County,GA,1,202303311200,202303310100,202304031200
Jefferson County,TX,1,202303311200,202303310100,202304031200
Meagher County,MT,1,202303311200,202303310100,202304031200
La Plata County,CO,0,202303311200,202303310100,202304031200
Bell County,TX,1,202303311200,202303310100,202304031200
Kemper County,MS,1,202303311200,202303310100,202304031200
Clark County,AR,1,202303311200,202303310100,202304031200
Klamath County,OR,1,202303311200,202303310100,202304031200
Oswego County,NY,3,202303311200,202303310100,202304031200
Naranjito Municipio,PR,0,202303311200,202303310100,202304031200
Cherokee County,AL,0,202303311200,202303310100,202304031200
Bandera County,TX,1,202303311200,202303310100,202304031200
Rosebud County,MT,1,202303311200,202303310100,202304031200
Union County,NM,0,202303311200,202303310100,202304031200
Schoolcraft County,MI,0,202303311200,202303310100,202304031200
Ulster County,NY,3,202303311200,202303310100,202304031200
Camden County,NJ,2,202303311200,202303310100,202304031200
Jersey County,IL,1,202303311200,202303310100,202304031200
Hanover County,VA,1,202303311200,202303310100,202304031200
Wallace County,KS,0,202303311200,202303310100,202304031200
Alger County,MI,0,202303311200,202303310100,202304031200
Fulton County,AR,1,202303311200,202303310100,202304031200
Hidalgo County,TX,0,202303311200,202303310100,202304031200
Robeson County,NC,2,202303311200,202303310100,202304031200
Newaygo County,MI,1,202303311200,202303310100,202304031200
Morrow County,OR,1,202303311200,202303310100,202304031200
Todd County,MN,1,202303311200,202303310100,202304031200
Logan County,AR,2,202303311200,202303310100,202304031200
Lincoln County,NC,1,202303311200,202303310100,202304031200
Miller County,AR,1,202303311200,202303310100,202304031200
Orange County,FL,0,202303311200,202303310100,202304031200
San Juan County,CO,1,202303311200,202303310100,202304031200
Franklin County,ID,0,202303311200,202303310100,202304031200
Carroll County,GA,0,202303311200,202303310100,202304031200
Riley County,KS,1,202303311200,202303310100,202304031200
Schleicher County,TX,0,202303311200,202303310100,202304031200
Russell County,VA,0,202303311200,202303310100,202304031200
Caldwell County,NC,0,202303311200,202303310100,202304031200
Madison County,ID,0,202303311200,202303310100,202304031200
Warrick County,IN,1,202303311200,202303310100,202304031200
Adair County,KY,0,202303311200,202303310100,202304031200
Gallatin County,KY,0,202303311200,202303310100,202304031200
Harrison County,KY,0,202303311200,202303310100,202304031200
Sagadahoc County,ME,1,202303311200,202303310100,202304031200
Sweet Grass County,MT,1,202303311200,202303310100,202304031200
Grayson County,TX,2,202303311200,202303310100,202304031200
Greene County,PA,3,202303311200,202303310100,202304031200
Northwest Arctic Borough,AK,0,202303311200,202303310100,202304031200
Ellis County,KS,0,202303311200,202303310100,202304031200
Hale County,AL,1,202303311200,202303310100,202304031200
Perry County,AL,0,202303311200,202303310100,202304031200
Colbert County,AL,0,202303311200,202303310100,202304031200
Pratt County,KS,0,202303311200,202303310100,202304031200
Bourbon County,KY,0,202303311200,202303310100,202304031200
Rutherford County,TN,0,202303311200,202303310100,202304031200
Cook County,GA,2,202303311200,202303310100,202304031200
Lane County,KS,0,202303311200,202303310100,202304031200
Harper County,OK,0,202303311200,202303310100,202304031200
Piatt County,IL,1,202303311200,202303310100,202304031200
Crosby County,TX,0,202303311200,202303310100,202304031200
Fajardo Municipio,PR,0,202303311200,202303310100,202304031200
Greene County,AL,1,202303311200,202303310100,202304031200
Clark County,ID,1,202303311200,202303310100,202304031200
Kossuth County,IA,1,202303311200,202303310100,202304031200
Yabucoa Municipio,PR,0,202303311200,202303310100,202304031200
Burke County,ND,0,202303311200,202303310100,202304031200
Durham County,NC,2,202303311200,202303310100,202304031200
Harrison County,IA,1,202303311200,202303310100,202304031200
Keya Paha County,NE,1,202303311200,202303310100,202304031200
Webster County,IA,1,202303311200,202303310100,202304031200
Pope County,IL,1,202303311200,202303310100,202304031200
Smith County,TN,0,202303311200,202303310100,202304031200
Henry County,VA,0,202303311200,202303310100,202304031200
Alexandria city,VA,1,202303311200,202303310100,202304031200
Jefferson County,IA,1,202303311200,202303310100,202304031200
Lewis and Clark County,MT,1,202303311200,202303310100,202304031200
Duchesne County,UT,0,202303311200,202303310100,202304031200
Alfalfa County,OK,1,202303311200,202303310100,202304031200
Delta County,TX,2,202303311200,202303310100,202304031200
Trousdale County,TN,0,202303311200,202303310100,202304031200
Perry County,KY,0,202303311200,202303310100,202304031200
Deuel County,SD,1,202303311200,202303310100,202304031200
Jackson County,OR,1,202303311200,202303310100,202304031200
Hormigueros Municipio,PR,0,202303311200,202303310100,202304031200
Zavala County,TX,0,202303311200,202303310100,202304031200
Banner County,NE,0,202303311200,202303310100,202304031200
Madison County,IA,1,202303311200,202303310100,202304031200
Broward County,FL,0,202303311200,202303310100,202304031200
Toombs County,GA,2,202303311200,202303310100,202304031200
Sanilac County,MI,0,202303311200,202303310100,202304031200
Rockwall County,TX,1,202303311200,202303310100,202304031200
Wayne County,MI,0,202303311200,202303310100,202304031200
Nobles County,MN,2,202303311200,202303310100,202304031200
Aitkin County,MN,1,202303311200,202303310100,202304031200
Ramsey County,ND,0,202303311200,202303310100,202304031200
Person County,NC,1,202303311200,202303310100,202304031200
Trego County,KS,0,202303311200,202303310100,202304031200
Washington County,MS,1,202303311200,202303310100,202304031200
Eastland County,TX,1,202303311200,202303310100,202304031200
Issaquena County,MS,1,202303311200,202303310100,202304031200
DeWitt County,TX,0,202303311200,202303310100,202304031200
Angelina County,TX,1,202303311200,202303310100,202304031200
Saluda County,SC,1,202303311200,202303310100,202304031200
Maries County,MO,1,202303311200,202303310100,202304031200
Arkansas County,AR,1,202303311200,202303310100,202304031200
Lawrence County,MO,2,202303311200,202303310100,202304031200
Charlottesville city,VA,0,202303311200,202303310100,202304031200
Bureau County,IL,1,202303311200,202303310100,202304031200
Scioto County,OH,0,202303311200,202303310100,202304031200
Madison County,NC,0,202303311200,202303310100,202304031200
Jerome County,ID,0,202303311200,202303310100,202304031200
Vinton County,OH,0,202303311200,202303310100,202304031200
McLennan County,TX,1,202303311200,202303310100,202304031200
Custer County,ID,1,202303311200,202303310100,202304031200
Howard County,IA,1,202303311200,202303310100,202304031200
Palm Beach County,FL,0,202303311200,202303310100,202304031200
Lincoln County,GA,1,202303311200,202303310100,202304031200
Butler County,AL,1,202303311200,202303310100,202304031200
Sumner County,TN,0,202303311200,202303310100,202304031200
King and Queen County,VA,1,202303311200,202303310100,202304031200
Carroll County,AR,2,202303311200,202303310100,202304031200
Waynesboro city,VA,0,202303311200,202303310100,202304031200
Sitka City and Borough,AK,0,202303311200,202303310100,202304031200
Multnomah County,OR,1,202303311200,202303310100,202304031200
Grundy County,TN,0,202303311200,202303310100,202304031200
Hubbard County,MN,0,202303311200,202303310100,202304031200
Sargent County,ND,0,202303311200,202303310100,202304031200
St. Lawrence County,NY,2,202303311200,202303310100,202304031200
Reynolds County,MO,1,202303311200,202303310100,202304031200
Sacramento County,CA,0,202303311200,202303310100,202304031200
Paulding County,OH,1,202303311200,202303310100,202304031200
Wells County,IN,1,202303311200,202303310100,202304031200
Floyd County,VA,0,202303311200,202303310100,202304031200
Santa Barbara County,CA,0,202303311200,202303310100,202304031200
Boone County,WV,0,202303311200,202303310100,202304031200
Benton County,MS,1,202303311200,202303310100,202304031200
Crittenden County,KY,1,202303311200,202303310100,202304031200
Palo Alto County,IA,1,202303311200,202303310100,202304031200
Ringgold County,IA,1,202303311200,202303310100,202304031200
Randolph County,NC,1,202303311200,202303310100,202304031200
Cecil County,MD,2,202303311200,202303310100,202304031200
Warren County,IN,1,202303311200,202303310100,202304031200
Greeley County,NE,2,202303311200,202303310100,202304031200
Jefferson County,NE,1,202303311200,202303310100,202304031200
Saline County,NE,1,202303311200,202303310100,202304031200
Knott County,KY,0,202303311200,202303310100,202304031200
Clinton County,IA,1,202303311200,202303310100,202304031200
Jackson County,MN,2,202303311200,202303310100,202304031200
Dodge County,MN,1,202303311200,202303310100,202304031200
Freeborn County,MN,1,202303311200,202303310100,202304031200
Calaveras County,CA,1,202303311200,202303310100,202304031200
Barnstable County,MA,2,202303311200,202303310100,202304031200
Middlesex County,VA,1,202303311200,202303310100,202304031200
Jefferson County,PA,3,202303311200,202303310100,202304031200
Lake County,IN,1,202303311200,202303310100,202304031200
Bedford County,TN,0,202303311200,202303310100,202304031200
Clay County,TN,0,202303311200,202303310100,202304031200
Coles County,IL,1,202303311200,202303310100,202304031200
Lauderdale County,TN,1,202303311200,202303310100,202304031200
Baker County,OR,1,202303311200,202303310100,202304031200
Schuyler County,NY,3,202303311200,202303310100,202304031200
Van Buren County,MI,1,202303311200,202303310100,202304031200
Mercer County,IL,1,202303311200,202303310100,202304031200
Lawrence County,KY,0,202303311200,202303310100,202304031200
Morgan County,KY,0,202303311200,202303310100,202304031200
Muhlenberg County,KY,1,202303311200,202303310100,202304031200
Effingham County,IL,1,202303311200,202303310100,202304031200
Loudon County,TN,0,202303311200,202303310100,202304031200
Clark County,SD,1,202303311200,202303310100,202304031200
Honolulu County,HI,0,202303311200,202303310100,202304031200
Gilchrist County,FL,1,202303311200,202303310100,202304031200
Tippecanoe County,IN,1,202303311200,202303310100,202304031200
Snyder County,PA,3,202303311200,202303310100,202304031200
Lamar County,TX,2,202303311200,202303310100,202304031200
Miami-Dade County,FL,0,202303311200,202303310100,202304031200
Dundy County,NE,0,202303311200,202303310100,202304031200
Leon County,TX,1,202303311200,202303310100,202304031200
Pitkin County,CO,1,202303311200,202303310100,202304031200
Grand Forks County,ND,0,202303311200,202303310100,202304031200
LaPorte County,IN,1,202303311200,202303310100,202304031200
Hamilton County,IN,1,202303311200,202303310100,202304031200
Emporia city,VA,2,202303311200,202303310100,202304031200
Lincoln County,OK,2,202303311200,202303310100,202304031200
Greeley County,KS,0,202303311200,202303310100,202304031200
Harris County,GA,1,202303311200,202303310100,202304031200
Screven County,GA,2,202303311200,202303310100,202304031200
San Juan Municipio,PR,0,202303311200,202303310100,202304031200
Stonewall County,TX,1,202303311200,202303310100,202304031200
Henry County,OH,1,202303311200,202303310100,202304031200
Grafton County,NH,1,202303311200,202303310100,202304031200
Newton County,MO,2,202303311200,202303310100,202304031200
Posey County,IN,1,202303311200,202303310100,202304031200
McMullen County,TX,0,202303311200,202303310100,202304031200
Cumberland County,IL,1,202303311200,202303310100,202304031200
Walton County,GA,1,202303311200,202303310100,202304031200
Pope County,MN,1,202303311200,202303310100,202304031200
Rappahannock County,VA,0,202303311200,202303310100,202304031200
Amherst County,VA,0,202303311200,202303310100,202304031200
Ventura County,CA,0,202303311200,202303310100,202304031200
Crawford County,IL,1,202303311200,202303310100,202304031200
Park County,CO,0,202303311200,202303310100,202304031200
Los Angeles County,CA,0,202303311200,202303310100,202304031200
Yuma County,AZ,0,202303311200,202303310100,202304031200
Gordon County,GA,0,202303311200,202303310100,202304031200
Calhoun County,IA,1,202303311200,202303310100,202304031200
Highlands County,FL,0,202303311200,202303310100,202304031200
Covington city,VA,0,202303311200,202303310100,202304031200
Orange County,VT,2,202303311200,202303310100,202304031200
McPherson County,KS,0,202303311200,202303310100,202304031200
Pinal County,AZ,0,202303311200,202303310100,202304031200
Fulton County,OH,1,202303311200,202303310100,202304031200
Alamosa County,CO,0,202303311200,202303310100,202304031200
Citrus County,FL,0,202303311200,202303310100,202304031200
Culebra Municipio,PR,0,202303311200,202303310100,202304031200
Dorado Municipio,PR,0,202303311200,202303310100,202304031200
DeKalb County,TN,0,202303311200,202303310100,202304031200
Clarion County,PA,3,202303311200,202303310100,202304031200
Miner County,SD,1,202303311200,202303310100,202304031200
Jerauld County,SD,1,202303311200,202303310100,202304031200
Decatur County,IN,1,202303311200,202303310100,202304031200
Dubois County,IN,1,202303311200,202303310100,202304031200
Essex County,VA,1,202303311200,202303310100,202304031200
Williamsburg County,SC,2,202303311200,202303310100,202304031200
Essex County,NY,2,202303311200,202303310100,202304031200
Worth County,IA,1,202303311200,202303310100,202304031200
Hughes County,OK,2,202303311200,202303310100,202304031200
Buchanan County,VA,0,202303311200,202303310100,202304031200
Alleghany County,VA,0,202303311200,202303310100,202304031200
Lowndes County,MS,1,202303311200,202303310100,202304031200
Scott County,IN,1,202303311200,202303310100,202304031200
Prowers County,CO,0,202303311200,202303310100,202304031200
Sutton County,TX,0,202303311200,202303310100,202304031200
Sabana Grande Municipio,PR,0,202303311200,202303310100,202304031200
Muskogee County,OK,2,202303311200,202303310100,202304031200
Christian County,MO,1,202303311200,202303310100,202304031200
Ciales Municipio,PR,0,202303311200,202303310100,202304031200
Lamar County,MS,1,202303311200,202303310100,202304031200
Ripley County,IN,1,202303311200,202303310100,202304031200
Mercer County,ND,0,202303311200,202303310100,202304031200
Hart County,GA,1,202303311200,202303310100,202304031200
Jackson Parish,LA,1,202303311200,202303310100,202304031200
Northumberland County,VA,1,202303311200,202303310100,202304031200
Fort Bend County,TX,1,202303311200,202303310100,202304031200
Green Lake County,WI,1,202303311200,202303310100,202304031200
Pondera County,MT,1,202303311200,202303310100,202304031200
Walworth County,WI,1,202303311200,202303310100,202304031200
Mineral County,NV,0,202303311200,202303310100,202304031200
Fulton County,IL,1,202303311200,202303310100,202304031200
Suffolk County,NY,2,202303311200,202303310100,202304031200
Union County,IN,1,202303311200,202303310100,202304031200
McDonald County,MO,2,202303311200,202303310100,202304031200
Scotts Bluff County,NE,0,202303311200,202303310100,202304031200
San Miguel County,NM,0,202303311200,202303310100,202304031200
Lee County,AL,1,202303311200,202303310100,202304031200
Parker County,TX,1,202303311200,202303310100,202304031200
Dickey County,ND,0,202303311200,202303310100,202304031200
Barnes County,ND,0,202303311200,202303310100,202304031200
Sibley County,MN,1,202303311200,202303310100,202304031200
Upson County,GA,1,202303311200,202303310100,202304031200
Sonoma County,CA,0,202303311200,202303310100,202304031200
Chippewa County,MI,0,202303311200,202303310100,202304031200
Bonneville County,ID,0,202303311200,202303310100,202304031200
Barrow County,GA,1,202303311200,202303310100,202304031200
Long County,GA,2,202303311200,202303310100,202304031200
Kinney County,TX,0,202303311200,202303310100,202304031200
Ottawa County,OK,2,202303311200,202303310100,202304031200
Clearfield County,PA,3,202303311200,202303310100,202304031200
Clinton County,MI,1,202303311200,202303310100,202304031200
Santa Isabel Municipio,PR,0,202303311200,202303310100,202304031200
Montgomery County,IL,1,202303311200,202303310100,202304031200
Alcorn County,MS,1,202303311200,202303310100,202304031200
Lafayette County,MS,1,202303311200,202303310100,202304031200
Grant Parish,LA,1,202303311200,202303310100,202304031200
Atchison County,MO,1,202303311200,202303310100,202304031200
Macon County,IL,1,202303311200,202303310100,202304031200
St. Joseph County,MI,1,202303311200,202303310100,202304031200
Franklin County,IL,1,202303311200,202303310100,202304031200
Garfield County,MT,1,202303311200,202303310100,202304031200
Adams County,NE,1,202303311200,202303310100,202304031200
Olmsted County,MN,1,202303311200,202303310100,202304031200
Union County,NJ,2,202303311200,202303310100,202304031200
Trujillo Alto Municipio,PR,0,202303311200,202303310100,202304031200
Mobile County,AL,1,202303311200,202303310100,202304031200
McCook County,SD,2,202303311200,202303310100,202304031200
Fayette County,AL,0,202303311200,202303310100,202304031200
Chambers County,AL,1,202303311200,202303310100,202304031200
Northampton County,NC,2,202303311200,202303310100,202304031200
Moffat County,CO,1,202303311200,202303310100,202304031200
Green County,KY,0,202303311200,202303310100,202304031200
Franklin County,IN,1,202303311200,202303310100,202304031200
Beaufort County,NC,2,202303311200,202303310100,202304031200
Jayuya Municipio,PR,0,202303311200,202303310100,202304031200
Burleigh County,ND,0,202303311200,202303310100,202304031200
Rowan County,NC,1,202303311200,202303310100,202304031200
Iron County,MI,1,202303311200,202303310100,202304031200
Kandiyohi County,MN,1,202303311200,202303310100,202304031200
Wolfe County,KY,0,202303311200,202303310100,202304031200
Fayette County,TX,1,202303311200,202303310100,202304031200
Lawrence County,SD,0,202303311200,202303310100,202304031200
Washington County,ME,1,202303311200,202303310100,202304031200
Briscoe County,TX,0,202303311200,202303310100,202304031200
Ontonagon County,MI,0,202303311200,202303310100,202304031200
Carroll County,MS,1,202303311200,202303310100,202304031200
Benton County,OR,1,202303311200,202303310100,202304031200
Rock County,MN,2,202303311200,202303310100,202304031200
Indiana County,PA,3,202303311200,202303310100,202304031200
Lincoln Parish,LA,1,202303311200,202303310100,202304031200
Perry County,PA,3,202303311200,202303310100,202304031200
Ziebach County,SD,0,202303311200,202303310100,202304031200
Harrison County,TX,1,202303311200,202303310100,202304031200
Baraga County,MI,0,202303311200,202303310100,202304031200
Rogers County,OK,2,202303311200,202303310100,202304031200
Boone County,MO,1,202303311200,202303310100,202304031200
Mayagüez Municipio,PR,0,202303311200,202303310100,202304031200
Caddo County,OK,1,202303311200,202303310100,202304031200
Jefferson County,CO,0,202303311200,202303310100,202304031200
Cabell County,WV,0,202303311200,202303310100,202304031200
Reagan County,TX,0,202303311200,202303310100,202304031200
Van Buren County,AR,1,202303311200,202303310100,202304031200
Summit County,CO,1,202303311200,202303310100,202304031200
Cowley County,KS,1,202303311200,202303310100,202304031200
Johnson County,AR,2,202303311200,202303310100,202304031200
Hamilton County,NY,3,202303311200,202303310100,202304031200
Craig County,VA,0,202303311200,202303310100,202304031200
Coleman County,TX,1,202303311200,202303310100,202304031200
Yukon-Koyukuk Census Area,AK,0,202303311200,202303310100,202304031200
Navajo County,AZ,0,202303311200,202303310100,202304031200
Lincoln County,MS,1,202303311200,202303310100,202304031200
Ochiltree County,TX,0,202303311200,202303310100,202304031200
Crane County,TX,0,202303311200,202303310100,202304031200
Big Horn County,WY,0,202303311200,202303310100,202304031200
Hickman County,TN,1,202303311200,202303310100,202304031200
Tunica County,MS,1,202303311200,202303310100,202304031200
