NAMELSAD,STUSPS,category,event_index
Washington County,UT,LIMITED,1.0
Big Horn County,MT,LIMITED,1.0
Sanders County,MT,LIMITED,1.0
Pend Oreille County,WA,MINOR,2.0
McLean County,ND,MINOR,2.0
Hood River County,OR,MINOR,2.0
Lincoln County,MT,LIMITED,1.0
Archuleta County,CO,MINOR,2.0
Granite County,MT,LIMITED,1.0
Foster County,ND,MINOR,2.0
Harney County,OR,MINOR,2.0
Campbell County,SD,LIMITED,1.0
Harding County,SD,MODERATE,3.0
Natrona County,WY,LIMITED,1.0
Lincoln County,OR,MINOR,2.0
Lake County,MN,LIMITED,1.0
Humboldt County,CA,MODERATE,3.0
Pembina County,ND,MINOR,2.0
Elko County,NV,MINOR,2.0
Lyon County,NV,MINOR,2.0
Josephine County,OR,MAJOR,4.0
Lemhi County,ID,MINOR,2.0
Ada County,ID,MINOR,2.0
Routt County,CO,MODERATE,3.0
Hinsdale County,CO,MODERATE,3.0
Cassia County,ID,MODERATE,3.0
Piute County,UT,MODERATE,3.0
Summit County,UT,MINOR,2.0
Lander County,NV,MODERATE,3.0
Pennington County,MN,LIMITED,1.0
Whatcom County,WA,MINOR,2.0
Gilliam County,OR,LIMITED,1.0
Custer County,MT,LIMITED,1.0
Del Norte County,CA,MAJOR,4.0
Chelan County,WA,LIMITED,1.0
Richland County,MT,MODERATE,3.0
Oneida County,ID,MINOR,2.0
Clearwater County,ID,MINOR,2.0
Modoc County,CA,MINOR,2.0
Laramie County,WY,MODERATE,3.0
Asotin County,WA,LIMITED,1.0
Emery County,UT,MODERATE,3.0
Ferry County,WA,LIMITED,1.0
Wibaux County,MT,MINOR,2.0
Larimer County,CO,MINOR,2.0
Boise County,ID,MODERATE,3.0
Payette County,ID,MINOR,2.0
Shoshone County,ID,MINOR,2.0
Lake County,CO,MODERATE,3.0
Douglas County,WA,LIMITED,1.0
Daggett County,UT,MINOR,2.0
Platte County,WY,LIMITED,1.0
Golden Valley County,MT,LIMITED,1.0
Santa Clara County,CA,LIMITED,1.0
Benton County,WA,LIMITED,1.0
Grant County,ND,MODERATE,3.0
Garfield County,WA,LIMITED,1.0
Carbon County,MT,LIMITED,1.0
Rio Grande County,CO,MODERATE,3.0
King County,WA,MINOR,2.0
Deschutes County,OR,MINOR,2.0
Toole County,MT,LIMITED,1.0
Pacific County,WA,MINOR,2.0
Washoe County,NV,MINOR,2.0
Storey County,NV,MINOR,2.0
Fremont County,ID,MINOR,2.0
Blaine County,MT,MODERATE,3.0
McKenzie County,ND,MINOR,2.0
Judith Basin County,MT,MINOR,2.0
Powell County,MT,LIMITED,1.0
Polk County,OR,MINOR,2.0
Wasco County,OR,LIMITED,1.0
Perkins County,SD,MODERATE,3.0
Dickinson County,MI,LIMITED,1.0
Nevada County,CA,EXTREME,5.0
Beaver County,UT,MODERATE,3.0
Lewis County,ID,LIMITED,1.0
Klickitat County,WA,LIMITED,1.0
Gilpin County,CO,MINOR,2.0
Sherman County,OR,LIMITED,1.0
Grays Harbor County,WA,LIMITED,1.0
Park County,MT,MINOR,2.0
Roosevelt County,MT,MINOR,2.0
Cowlitz County,WA,MINOR,2.0
Albany County,WY,MODERATE,3.0
Park County,WY,MODERATE,3.0
Fallon County,MT,LIMITED,1.0
Bannock County,ID,MINOR,2.0
Tulare County,CA,MODERATE,3.0
Towner County,ND,MINOR,2.0
Lincoln County,NV,MINOR,2.0
McCone County,MT,MINOR,2.0
Kittson County,MN,MINOR,2.0
Uintah County,UT,MINOR,2.0
Utah County,UT,MODERATE,3.0
Twin Falls County,ID,MINOR,2.0
Johnson County,WY,LIMITED,1.0
Stillwater County,MT,MINOR,2.0
Sheridan County,WY,MINOR,2.0
Jackson County,CO,MODERATE,3.0
Owyhee County,ID,MODERATE,3.0
Wayne County,UT,MINOR,2.0
Walla Walla County,WA,LIMITED,1.0
Clear Creek County,CO,MODERATE,3.0
Teton County,MT,LIMITED,1.0
Dawson County,MT,MODERATE,3.0
Renville County,ND,MINOR,2.0
Powder River County,MT,LIMITED,1.0
Juab County,UT,MINOR,2.0
Washington County,ID,MINOR,2.0
Stutsman County,ND,MINOR,2.0
Golden Valley County,ND,MINOR,2.0
Grant County,WA,LIMITED,1.0
Carbon County,UT,MODERATE,3.0
Latah County,ID,MINOR,2.0
Yamhill County,OR,MINOR,2.0
Glacier County,MT,LIMITED,1.0
Pershing County,NV,MINOR,2.0
Mahnomen County,MN,LIMITED,1.0
Lake County,MT,LIMITED,1.0
Oliver County,ND,MINOR,2.0
Adams County,WA,LIMITED,1.0
Dunn County,ND,MINOR,2.0
Hill County,MT,MINOR,2.0
Rolette County,ND,MINOR,2.0
Treasure County,MT,LIMITED,1.0
Iron County,UT,MODERATE,3.0
Esmeralda County,NV,LIMITED,1.0
Sanpete County,UT,MODERATE,3.0
Clark County,WA,MINOR,2.0
Houghton County,MI,LIMITED,1.0
Mineral County,MT,MINOR,2.0
Douglas County,CO,MINOR,2.0
Yellowstone County,MT,LIMITED,1.0
Lake County,CA,MODERATE,3.0
Conejos County,CO,MODERATE,3.0
San Juan County,UT,MINOR,2.0
Gooding County,ID,MINOR,2.0
Teton County,WY,MINOR,2.0
Morton County,ND,MINOR,2.0
Plumas County,CA,MAJOR,4.0
Curry County,OR,EXTREME,5.0
Teller County,CO,MINOR,2.0
Wasatch County,UT,MINOR,2.0
Caribou County,ID,MINOR,2.0
Jefferson County,MT,LIMITED,1.0
Deer Lodge County,MT,LIMITED,1.0
Wheatland County,MT,MINOR,2.0
Franklin County,ME,LIMITED,1.0
Gunnison County,CO,MODERATE,3.0
Ravalli County,MT,LIMITED,1.0
Lincoln County,WA,LIMITED,1.0
Boundary County,ID,MINOR,2.0
Bear Lake County,ID,MINOR,2.0
Umatilla County,OR,LIMITED,1.0
Valley County,MT,MODERATE,3.0
Petroleum County,MT,MINOR,2.0
Whitman County,WA,LIMITED,1.0
Elbert County,CO,LIMITED,1.0
Pierce County,ND,MINOR,2.0
Red Lake County,MN,LIMITED,1.0
Jefferson County,OR,LIMITED,1.0
Morrill County,NE,LIMITED,1.0
Mesa County,CO,MINOR,2.0
Phillips County,MT,MINOR,2.0
Mason County,WA,MINOR,2.0
Missoula County,MT,LIMITED,1.0
Siskiyou County,CA,MAJOR,4.0
Dolores County,CO,MINOR,2.0
Arapahoe County,CO,LIMITED,1.0
Skagit County,WA,MINOR,2.0
Clearwater County,MN,LIMITED,1.0
Sheridan County,MT,MODERATE,3.0
Delta County,MI,LIMITED,1.0
Sublette County,WY,MINOR,2.0
Eddy County,ND,MINOR,2.0
Pierce County,WA,LIMITED,1.0
Lincoln County,ID,MINOR,2.0
Corson County,SD,LIMITED,1.0
Camas County,ID,MODERATE,3.0
Hettinger County,ND,MODERATE,3.0
Grand County,UT,MINOR,2.0
Tooele County,UT,MINOR,2.0
Polk County,MN,LIMITED,1.0
Canyon County,ID,MINOR,2.0
Daniels County,MT,MINOR,2.0
Thurston County,WA,LIMITED,1.0
Prairie County,MT,MINOR,2.0
Grand County,CO,MODERATE,3.0
Washington County,OR,MINOR,2.0
Madison County,MT,MINOR,2.0
Franklin County,WA,LIMITED,1.0
Beaverhead County,MT,LIMITED,1.0
Skamania County,WA,MODERATE,3.0
Roseau County,MN,LIMITED,1.0
