NAMELSAD,STUSPS,category,event_index
Clallam County,WA,LIMITED,1.0
Stevens County,WA,MINOR,2.0
El Dorado County,CA,EXTREME,5.0
Douglas County,OR,MODERATE,3.0
Monroe County,PA,LIMITED,1.0
Cavalier County,ND,MODERATE,3.0
Bonner County,ID,MINOR,2.0
Salt Lake County,UT,MODERATE,3.0
Lake of the Woods County,MN,LIMITED,1.0
Bingham County,ID,MODERATE,3.0
Sevier County,UT,MAJOR,4.0
Williams County,ND,MINOR,2.0
Cass County,ND,MINOR,2.0
Garfield County,UT,MODERATE,3.0
Eureka County,NV,MODERATE,3.0
Fergus County,MT,MINOR,2.0
Billings County,ND,MINOR,2.0
Ouray County,CO,MODERATE,3.0
Broadwater County,MT,MINOR,2.0
Columbia County,OR,MINOR,2.0
Mountrail County,ND,MINOR,2.0
Washington County,UT,LIMITED,1.0
Big Horn County,MT,LIMITED,1.0
Elk County,PA,LIMITED,1.0
Sanders County,MT,MINOR,2.0
Pend Oreille County,WA,MINOR,2.0
McLean County,ND,MINOR,2.0
Hood River County,OR,MINOR,2.0
Lincoln County,MT,MINOR,2.0
Archuleta County,CO,MINOR,2.0
Granite County,MT,LIMITED,1.0
Foster County,ND,MINOR,2.0
Harney County,OR,MINOR,2.0
Natrona County,WY,MINOR,2.0
Lincoln County,OR,LIMITED,1.0
Lake County,MN,LIMITED,1.0
Humboldt County,CA,EXTREME,5.0
Pembina County,ND,MINOR,2.0
Carbon County,PA,LIMITED,1.0
Marathon County,WI,LIMITED,1.0
Elko County,NV,MODERATE,3.0
Lyon County,NV,MODERATE,3.0
Josephine County,OR,MAJOR,4.0
Lemhi County,ID,MINOR,2.0
Ada County,ID,MINOR,2.0
Routt County,CO,MODERATE,3.0
Hinsdale County,CO,MODERATE,3.0
Cassia County,ID,MODERATE,3.0
Piute County,UT,MODERATE,3.0
Summit County,UT,MAJOR,4.0
Lander County,NV,MAJOR,4.0
Montgomery County,NY,LIMITED,1.0
Pennington County,MN,MINOR,2.0
Whatcom County,WA,MINOR,2.0
Gilliam County,OR,MINOR,2.0
Custer County,MT,LIMITED,1.0
Del Norte County,CA,EXTREME,5.0
Chelan County,WA,MINOR,2.0
Sullivan County,NY,LIMITED,1.0
Richland County,MT,LIMITED,1.0
Oneida County,ID,MODERATE,3.0
Clearwater County,ID,MINOR,2.0
Modoc County,CA,MODERATE,3.0
Laramie County,WY,MINOR,2.0
Asotin County,WA,MINOR,2.0
McKean County,PA,LIMITED,1.0
Emery County,UT,MODERATE,3.0
Ferry County,WA,MINOR,2.0
Wibaux County,MT,LIMITED,1.0
Larimer County,CO,MODERATE,3.0
Boise County,ID,MINOR,2.0
Payette County,ID,MINOR,2.0
Shoshone County,ID,MINOR,2.0
Shawano County,WI,LIMITED,1.0
Lake County,CO,MODERATE,3.0
Douglas County,WA,MINOR,2.0
Daggett County,UT,MODERATE,3.0
Golden Valley County,MT,LIMITED,1.0
Benton County,WA,MINOR,2.0
Grant County,ND,MINOR,2.0
Garfield County,WA,MINOR,2.0
Carbon County,MT,LIMITED,1.0
Rio Grande County,CO,MODERATE,3.0
King County,WA,MINOR,2.0
Deschutes County,OR,MINOR,2.0
Toole County,MT,LIMITED,1.0
Pacific County,WA,LIMITED,1.0
Washoe County,NV,MAJOR,4.0
Storey County,NV,MODERATE,3.0
Fremont County,ID,MODERATE,3.0
Blaine County,MT,LIMITED,1.0
McKenzie County,ND,MINOR,2.0
Judith Basin County,MT,LIMITED,1.0
Powell County,MT,LIMITED,1.0
Polk County,OR,MODERATE,3.0
Wasco County,OR,MINOR,2.0
Schoharie County,NY,LIMITED,1.0
Nevada County,CA,EXTREME,5.0
Beaver County,UT,MODERATE,3.0
Rio Arriba County,NM,LIMITED,1.0
Lewis County,ID,MINOR,2.0
Klickitat County,WA,MINOR,2.0
Gilpin County,CO,MINOR,2.0
Sherman County,OR,MINOR,2.0
Grays Harbor County,WA,LIMITED,1.0
Park County,MT,MINOR,2.0
Roosevelt County,MT,MINOR,2.0
Cowlitz County,WA,MINOR,2.0
Warren County,PA,LIMITED,1.0
Albany County,WY,MODERATE,3.0
Park County,WY,MODERATE,3.0
Fallon County,MT,LIMITED,1.0
Bannock County,ID,MAJOR,4.0
Tulare County,CA,MAJOR,4.0
Towner County,ND,MINOR,2.0
Bennington County,VT,LIMITED,1.0
Lincoln County,NV,MODERATE,3.0
McCone County,MT,LIMITED,1.0
Kittson County,MN,MINOR,2.0
Uintah County,UT,MODERATE,3.0
Utah County,UT,MAJOR,4.0
Twin Falls County,ID,MINOR,2.0
Stillwater County,MT,LIMITED,1.0
Sheridan County,WY,LIMITED,1.0
Luzerne County,PA,LIMITED,1.0
Jackson County,CO,MODERATE,3.0
Owyhee County,ID,MODERATE,3.0
Wayne County,UT,MODERATE,3.0
Walla Walla County,WA,MINOR,2.0
Clear Creek County,CO,MODERATE,3.0
Teton County,MT,LIMITED,1.0
Dawson County,MT,LIMITED,1.0
Renville County,ND,MINOR,2.0
Potter County,PA,LIMITED,1.0
Juab County,UT,MODERATE,3.0
Chenango County,NY,LIMITED,1.0
Washington County,ID,MINOR,2.0
Stutsman County,ND,MINOR,2.0
Golden Valley County,ND,MINOR,2.0
Grant County,WA,MINOR,2.0
Carbon County,UT,MODERATE,3.0
Lycoming County,PA,LIMITED,1.0
Latah County,ID,MINOR,2.0
Yamhill County,OR,MODERATE,3.0
Glacier County,MT,MINOR,2.0
Pershing County,NV,MODERATE,3.0
Mahnomen County,MN,MINOR,2.0
Lake County,MT,MINOR,2.0
Fulton County,NY,LIMITED,1.0
Centre County,PA,LIMITED,1.0
Oliver County,ND,MINOR,2.0
Osceola County,MI,LIMITED,1.0
Adams County,WA,MINOR,2.0
Dunn County,ND,MINOR,2.0
Hill County,MT,LIMITED,1.0
Rolette County,ND,MINOR,2.0
Treasure County,MT,LIMITED,1.0
Iron County,UT,MODERATE,3.0
Esmeralda County,NV,MODERATE,3.0
Sanpete County,UT,MAJOR,4.0
Clark County,WA,MODERATE,3.0
Mineral County,MT,MINOR,2.0
Douglas County,CO,LIMITED,1.0
Yellowstone County,MT,LIMITED,1.0
Lake County,CA,MAJOR,4.0
Conejos County,CO,MODERATE,3.0
San Juan County,UT,MINOR,2.0
Gooding County,ID,MINOR,2.0
Teton County,WY,MAJOR,4.0
Morton County,ND,MINOR,2.0
Plumas County,CA,EXTREME,5.0
Curry County,OR,EXTREME,5.0
Teller County,CO,MINOR,2.0
Wasatch County,UT,MAJOR,4.0
Caribou County,ID,MAJOR,4.0
Jefferson County,MT,LIMITED,1.0
Deer Lodge County,MT,MINOR,2.0
Wheatland County,MT,LIMITED,1.0
Franklin County,ME,LIMITED,1.0
Gunnison County,CO,MODERATE,3.0
Ravalli County,MT,MINOR,2.0
Lincoln County,WA,MINOR,2.0
Boundary County,ID,MINOR,2.0
Bear Lake County,ID,MODERATE,3.0
Umatilla County,OR,MINOR,2.0
Valley County,MT,MINOR,2.0
Petroleum County,MT,MINOR,2.0
Whitman County,WA,MINOR,2.0
Pierce County,ND,MINOR,2.0
Red Lake County,MN,MINOR,2.0
Jefferson County,OR,MINOR,2.0
Mesa County,CO,MODERATE,3.0
Pike County,PA,LIMITED,1.0
Susquehanna County,PA,LIMITED,1.0
Delaware County,NY,LIMITED,1.0
Phillips County,MT,MINOR,2.0
Mason County,WA,MINOR,2.0
Missoula County,MT,MINOR,2.0
Siskiyou County,CA,MAJOR,4.0
Dolores County,CO,MINOR,2.0
Skagit County,WA,MODERATE,3.0
Clearwater County,MN,LIMITED,1.0
Sheridan County,MT,MINOR,2.0
Sublette County,WY,MODERATE,3.0
Eddy County,ND,MINOR,2.0
Pierce County,WA,LIMITED,1.0
Lincoln County,ID,MINOR,2.0
Camas County,ID,MODERATE,3.0
Hettinger County,ND,MINOR,2.0
Grand County,UT,MODERATE,3.0
Tooele County,UT,MODERATE,3.0
Polk County,MN,MINOR,2.0
Canyon County,ID,MINOR,2.0
Daniels County,MT,MINOR,2.0
Menominee County,WI,LIMITED,1.0
Thurston County,WA,LIMITED,1.0
Prairie County,MT,LIMITED,1.0
Schenectady County,NY,LIMITED,1.0
Grand County,CO,MODERATE,3.0
Washington County,OR,MODERATE,3.0
Madison County,MT,MODERATE,3.0
Franklin County,WA,MINOR,2.0
Beaverhead County,MT,MINOR,2.0
Skamania County,WA,MODERATE,3.0
Roseau County,MN,MINOR,2.0
