NAMELSAD,STUSPS,category,event_index
Stillwater County,MT,LIMITED,1.0
Richland County,WI,LIMITED,1.0
Sheridan County,WY,LIMITED,1.0
Luzerne County,PA,LIMITED,1.0
Jackson County,CO,MINOR,2.0
Owyhee County,ID,MODERATE,3.0
Chautauqua County,NY,LIMITED,1.0
Wayne County,UT,LIMITED,1.0
Walla Walla County,WA,MINOR,2.0
Clear Creek County,CO,MODERATE,3.0
Teton County,MT,LIMITED,1.0
Dawson County,MT,LIMITED,1.0
Lincoln County,WI,LIMITED,1.0
Renville County,ND,MINOR,2.0
Powder River County,MT,MINOR,2.0
Potter County,PA,LIMITED,1.0
Juab County,UT,MODERATE,3.0
Chenango County,NY,LIMITED,1.0
Iowa County,WI,LIMITED,1.0
Washington County,ID,MINOR,2.0
Stutsman County,ND,LIMITED,1.0
Golden Valley County,ND,LIMITED,1.0
Grant County,WA,MINOR,2.0
Carbon County,UT,MINOR,2.0
Lycoming County,PA,LIMITED,1.0
Latah County,ID,MINOR,2.0
Yamhill County,OR,MINOR,2.0
Glacier County,MT,LIMITED,1.0
Pershing County,NV,MODERATE,3.0
Mahnomen County,MN,LIMITED,1.0
Lake County,MT,MINOR,2.0
Fulton County,NY,LIMITED,1.0
Oliver County,ND,LIMITED,1.0
Adams County,WA,MINOR,2.0
Dunn County,ND,LIMITED,1.0
Windsor County,VT,LIMITED,1.0
Hill County,MT,MINOR,2.0
Rolette County,ND,LIMITED,1.0
Treasure County,MT,LIMITED,1.0
Iron County,UT,MINOR,2.0
Esmeralda County,NV,MODERATE,3.0
Sanpete County,UT,MODERATE,3.0
Marinette County,WI,LIMITED,1.0
Clark County,WA,MINOR,2.0
Mineral County,MT,MINOR,2.0
Yellowstone County,MT,LIMITED,1.0
Lake County,CA,MAJOR,4.0
Conejos County,CO,MINOR,2.0
San Juan County,UT,MINOR,2.0
Gooding County,ID,MINOR,2.0
Teton County,WY,MAJOR,4.0
Grant County,WI,LIMITED,1.0
Morton County,ND,LIMITED,1.0
Plumas County,CA,EXTREME,5.0
Washington County,VT,LIMITED,1.0
St. Francois County,MO,LIMITED,1.0
Curry County,OR,EXTREME,5.0
Teller County,CO,MINOR,2.0
Wasatch County,UT,MAJOR,4.0
Caribou County,ID,MAJOR,4.0
Jefferson County,MT,MODERATE,3.0
Deer Lodge County,MT,MODERATE,3.0
Wheatland County,MT,MODERATE,3.0
Franklin County,ME,MODERATE,3.0
Gunnison County,CO,MODERATE,3.0
Ravalli County,MT,MODERATE,3.0
Lincoln County,WA,MINOR,2.0
Boundary County,ID,MINOR,2.0
Bear Lake County,ID,MAJOR,4.0
Umatilla County,OR,MINOR,2.0
Valley County,MT,MINOR,2.0
Petroleum County,MT,MINOR,2.0
Whitman County,WA,MINOR,2.0
Pierce County,ND,LIMITED,1.0
Red Lake County,MN,LIMITED,1.0
Jefferson County,OR,MINOR,2.0
Mesa County,CO,MINOR,2.0
Dent County,MO,LIMITED,1.0
Pike County,PA,LIMITED,1.0
Susquehanna County,PA,LIMITED,1.0
Delaware County,NY,LIMITED,1.0
Phillips County,MT,MINOR,2.0
Mason County,WA,MINOR,2.0
Missoula County,MT,MINOR,2.0
Siskiyou County,CA,MAJOR,4.0
Dolores County,CO,MINOR,2.0
Skagit County,WA,MODERATE,3.0
Clearwater County,MN,LIMITED,1.0
Sheridan County,MT,MINOR,2.0
Sublette County,WY,MODERATE,3.0
Aroostook County,ME,LIMITED,1.0
Eddy County,ND,LIMITED,1.0
Pierce County,WA,LIMITED,1.0
Lincoln County,ID,MINOR,2.0
Juneau County,WI,LIMITED,1.0
Corson County,SD,LIMITED,1.0
Camas County,ID,MODERATE,3.0
Hettinger County,ND,LIMITED,1.0
Grand County,UT,MINOR,2.0
Tooele County,UT,MODERATE,3.0
Buffalo County,WI,LIMITED,1.0
Polk County,MN,LIMITED,1.0
Transylvania County,NC,LIMITED,1.0
Canyon County,ID,MINOR,2.0
Daniels County,MT,MINOR,2.0
Somerset County,ME,LIMITED,1.0
Marshall County,SD,LIMITED,1.0
Prairie County,MT,LIMITED,1.0
Allamakee County,IA,LIMITED,1.0
Schenectady County,NY,LIMITED,1.0
Houston County,MN,LIMITED,1.0
Grand County,CO,MODERATE,3.0
Washington County,OR,MINOR,2.0
Madison County,MT,MODERATE,3.0
Franklin County,WA,MINOR,2.0
Windham County,VT,LIMITED,1.0
Beaverhead County,MT,MODERATE,3.0
Skamania County,WA,MAJOR,4.0
Roseau County,MN,MINOR,2.0
