NAMELSAD,STUSPS,category_x,event_index,category_y
Jackson County,SD,MINOR,2.0,MINOR
Sevier County,UT,MODERATE,3.0,MODERATE
Dawson County,NE,MINOR,2.0,MINOR
Williams County,ND,LIMITED,1.0,LIMITED
Cass County,ND,MODERATE,3.0,MODERATE
Arthur County,NE,MINOR,2.0,MINOR
Garfield County,UT,LIMITED,1.0,LIMITED
Eureka County,NV,MODERATE,3.0,MODERATE
Hayes County,NE,LIMITED,1.0,LIMITED
Phillips County,CO,LIMITED,1.0,LIMITED
Fergus County,MT,MINOR,2.0,MINOR
Custer County,SD,MINOR,2.0,MINOR
Merrimack County,NH,LIMITED,1.0,LIMITED
Beadle County,SD,MINOR,2.0,MINOR
Jones County,SD,MINOR,2.0,MINOR
Billings County,ND,MODERATE,3.0,MODERATE
Antelope County,NE,MINOR,2.0,MINOR
Campbell County,WY,MINOR,2.0,MINOR
Ouray County,CO,MODERATE,3.0,MODERATE
Broadwater County,MT,MODERATE,3.0,MODERATE
Columbia County,OR,MINOR,2.0,MINOR
Mountrail County,ND,LIMITED,1.0,LIMITED
Big Horn County,MT,MODERATE,3.0,MODERATE
Sioux County,NE,MINOR,2.0,MINOR
Lincoln County,MN,MODERATE,3.0,MODERATE
Polk County,WI,LIMITED,1.0,LIMITED
Putnam County,NY,LIMITED,1.0,LIMITED
Sanders County,MT,MAJOR,4.0,MAJOR
Pend Oreille County,WA,MINOR,2.0,MINOR
McLean County,ND,LIMITED,1.0,LIMITED
Hood River County,OR,MAJOR,4.0,MAJOR
Otter Tail County,MN,MINOR,2.0,MINOR
Lincoln County,MT,MINOR,2.0,MINOR
Cass County,MN,LIMITED,1.0,LIMITED
Archuleta County,CO,MODERATE,3.0,MODERATE
Granite County,MT,MODERATE,3.0,MODERATE
Foster County,ND,MINOR,2.0,MINOR
Lincoln County,NE,MINOR,2.0,MINOR
Dakota County,MN,LIMITED,1.0,LIMITED
Harney County,OR,MINOR,2.0,MINOR
Adams County,WI,LIMITED,1.0,LIMITED
Campbell County,SD,MODERATE,3.0,MODERATE
Harding County,SD,MINOR,2.0,MINOR
Logan County,NE,MINOR,2.0,MINOR
Sheridan County,NE,MINOR,2.0,MINOR
Natrona County,WY,MINOR,2.0,MINOR
York County,ME,LIMITED,1.0,LIMITED
Codington County,SD,MINOR,2.0,MINOR
Lake County,MN,LIMITED,1.0,LIMITED
Anoka County,MN,LIMITED,1.0,LIMITED
Bon Homme County,SD,MINOR,2.0,MINOR
Pembina County,ND,MODERATE,3.0,MODERATE
Bennett County,SD,MINOR,2.0,MINOR
Penobscot County,ME,LIMITED,1.0,LIMITED
Murray County,MN,MINOR,2.0,MINOR
Carbon County,PA,LIMITED,1.0,LIMITED
Unicoi County,TN,LIMITED,1.0,LIMITED
Elko County,NV,MODERATE,3.0,MODERATE
Ramsey County,MN,LIMITED,1.0,LIMITED
Lyon County,NV,MINOR,2.0,MINOR
Josephine County,OR,MINOR,2.0,MINOR
Lemhi County,ID,MODERATE,3.0,MODERATE
Wilkin County,MN,MODERATE,3.0,MODERATE
Kennebec County,ME,MINOR,2.0,MINOR
Ada County,ID,MINOR,2.0,MINOR
Routt County,CO,MODERATE,3.0,MODERATE
Somerset County,NJ,LIMITED,1.0,LIMITED
Hinsdale County,CO,MODERATE,3.0,MODERATE
Cassia County,ID,MODERATE,3.0,MODERATE
Isanti County,MN,LIMITED,1.0,LIMITED
Piute County,UT,MINOR,2.0,MINOR
Benton County,MN,MINOR,2.0,MINOR
Summit County,UT,MODERATE,3.0,MODERATE
Lander County,NV,MODERATE,3.0,MODERATE
Wadena County,MN,LIMITED,1.0,LIMITED
Montgomery County,NY,LIMITED,1.0,LIMITED
Pennington County,MN,MINOR,2.0,MINOR
Whatcom County,WA,MAJOR,4.0,MAJOR
Gilliam County,OR,LIMITED,1.0,LIMITED
Custer County,MT,MODERATE,3.0,MODERATE
Roberts County,SD,MODERATE,3.0,MODERATE
Richland County,ND,MODERATE,3.0,MODERATE
Chelan County,WA,MODERATE,3.0,MODERATE
Sullivan County,NY,LIMITED,1.0,LIMITED
Richland County,MT,LIMITED,1.0,LIMITED
Grant County,NE,MINOR,2.0,MINOR
Oneida County,ID,MODERATE,3.0,MODERATE
Clearwater County,ID,MODERATE,3.0,MODERATE
Crow Wing County,MN,LIMITED,1.0,LIMITED
Weld County,CO,MINOR,2.0,MINOR
Modoc County,CA,MINOR,2.0,MINOR
Laramie County,WY,MINOR,2.0,MINOR
Asotin County,WA,MINOR,2.0,MINOR
Traverse County,MN,MINOR,2.0,MINOR
Otsego County,MI,LIMITED,1.0,LIMITED
Emery County,UT,MINOR,2.0,MINOR
Ferry County,WA,LIMITED,1.0,LIMITED
Wibaux County,MT,LIMITED,1.0,LIMITED
Yellow Medicine County,MN,MODERATE,3.0,MODERATE
Larimer County,CO,MINOR,2.0,MINOR
Rice County,MN,LIMITED,1.0,LIMITED
Todd County,SD,MINOR,2.0,MINOR
Boise County,ID,MINOR,2.0,MINOR
Oxford County,ME,LIMITED,1.0,LIMITED
Payette County,ID,MINOR,2.0,MINOR
Shoshone County,ID,MODERATE,3.0,MODERATE
Turner County,SD,MINOR,2.0,MINOR
Stearns County,MN,MINOR,2.0,MINOR
Sherburne County,MN,MINOR,2.0,MINOR
Davison County,SD,MODERATE,3.0,MODERATE
Oneida County,NY,LIMITED,1.0,LIMITED
Lake County,CO,MODERATE,3.0,MODERATE
Carroll County,NH,LIMITED,1.0,LIMITED
Le Sueur County,MN,MINOR,2.0,MINOR
Douglas County,WA,LIMITED,1.0,LIMITED
Dodge County,WI,LIMITED,1.0,LIMITED
Blaine County,NE,MINOR,2.0,MINOR
Daggett County,UT,MINOR,2.0,MINOR
Platte County,WY,MINOR,2.0,MINOR
Golden Valley County,MT,MINOR,2.0,MINOR
Benton County,WA,LIMITED,1.0,LIMITED
Grant County,ND,MODERATE,3.0,MODERATE
St. Louis County,MN,LIMITED,1.0,LIMITED
Dixon County,NE,MINOR,2.0,MINOR
Garfield County,WA,MINOR,2.0,MINOR
Cook County,MN,LIMITED,1.0,LIMITED
Carbon County,MT,MODERATE,3.0,MODERATE
Stanton County,NE,LIMITED,1.0,LIMITED
Rockingham County,NH,LIMITED,1.0,LIMITED
Rio Grande County,CO,MODERATE,3.0,MODERATE
Plymouth County,IA,LIMITED,1.0,LIMITED
Yates County,NY,LIMITED,1.0,LIMITED
King County,WA,MODERATE,3.0,MODERATE
Deschutes County,OR,MINOR,2.0,MINOR
Toole County,MT,MINOR,2.0,MINOR
Tioga County,NY,LIMITED,1.0,LIMITED
Burnett County,WI,LIMITED,1.0,LIMITED
Pacific County,WA,LIMITED,1.0,LIMITED
Stanley County,SD,MINOR,2.0,MINOR
Washoe County,NV,MODERATE,3.0,MODERATE
Storey County,NV,MINOR,2.0,MINOR
Wheeler County,NE,MINOR,2.0,MINOR
Grant County,MN,MINOR,2.0,MINOR
Aurora County,SD,MINOR,2.0,MINOR
Chippewa County,MN,MINOR,2.0,MINOR
Pennington County,SD,MODERATE,3.0,MODERATE
Fremont County,ID,MODERATE,3.0,MODERATE
Lincoln County,SD,MINOR,2.0,MINOR
Blaine County,MT,LIMITED,1.0,LIMITED
McKenzie County,ND,LIMITED,1.0,LIMITED
Hillsborough County,NH,LIMITED,1.0,LIMITED
Judith Basin County,MT,MODERATE,3.0,MODERATE
Powell County,MT,MODERATE,3.0,MODERATE
Polk County,OR,LIMITED,1.0,LIMITED
Wasco County,OR,LIMITED,1.0,LIMITED
Perkins County,SD,MINOR,2.0,MINOR
Weston County,WY,MINOR,2.0,MINOR
Faribault County,MN,MINOR,2.0,MINOR
Cherokee County,IA,LIMITED,1.0,LIMITED
Brookings County,SD,MINOR,2.0,MINOR
Carlton County,MN,LIMITED,1.0,LIMITED
Schoharie County,NY,LIMITED,1.0,LIMITED
Broome County,NY,LIMITED,1.0,LIMITED
Douglas County,WI,LIMITED,1.0,LIMITED
Beaver County,UT,LIMITED,1.0,LIMITED
Rensselaer County,NY,LIMITED,1.0,LIMITED
Piscataquis County,ME,LIMITED,1.0,LIMITED
Rio Arriba County,NM,LIMITED,1.0,LIMITED
Caledonia County,VT,LIMITED,1.0,LIMITED
Lewis County,ID,MODERATE,3.0,MODERATE
Morris County,NJ,LIMITED,1.0,LIMITED
Ness County,KS,LIMITED,1.0,LIMITED
Chase County,NE,LIMITED,1.0,LIMITED
Ransom County,ND,MODERATE,3.0,MODERATE
Pine County,MN,LIMITED,1.0,LIMITED
Klickitat County,WA,MODERATE,3.0,MODERATE
San Juan County,WA,LIMITED,1.0,LIMITED
Emmet County,MI,LIMITED,1.0,LIMITED
Lincoln County,ME,LIMITED,1.0,LIMITED
Seneca County,NY,LIMITED,1.0,LIMITED
Gilpin County,CO,MINOR,2.0,MINOR
Essex County,NJ,LIMITED,1.0,LIMITED
Sherman County,OR,LIMITED,1.0,LIMITED
Buffalo County,SD,MINOR,2.0,MINOR
Mellette County,SD,MINOR,2.0,MINOR
Grays Harbor County,WA,LIMITED,1.0,LIMITED
Park County,MT,MODERATE,3.0,MODERATE
Yancey County,NC,LIMITED,1.0,LIMITED
Stevens County,MN,MINOR,2.0,MINOR
Haskell County,KS,LIMITED,1.0,LIMITED
Roosevelt County,MT,LIMITED,1.0,LIMITED
Cowlitz County,WA,MINOR,2.0,MINOR
Yuma County,CO,MINOR,2.0,MINOR
Emmet County,IA,MINOR,2.0,MINOR
Albany County,WY,MINOR,2.0,MINOR
Park County,WY,MODERATE,3.0,MODERATE
Montour County,PA,LIMITED,1.0,LIMITED
Cheboygan County,MI,LIMITED,1.0,LIMITED
Clay County,IA,LIMITED,1.0,LIMITED
Fallon County,MT,MODERATE,3.0,MODERATE
Potter County,SD,MINOR,2.0,MINOR
Cumberland County,ME,LIMITED,1.0,LIMITED
Bannock County,ID,MODERATE,3.0,MODERATE
Towner County,ND,LIMITED,1.0,LIMITED
Bennington County,VT,LIMITED,1.0,LIMITED
Bergen County,NJ,LIMITED,1.0,LIMITED
Lincoln County,NV,LIMITED,1.0,LIMITED
McCone County,MT,LIMITED,1.0,LIMITED
Fall River County,SD,MINOR,2.0,MINOR
Kittson County,MN,MODERATE,3.0,MODERATE
Uintah County,UT,MINOR,2.0,MINOR
Utah County,UT,MODERATE,3.0,MODERATE
Osceola County,IA,MINOR,2.0,MINOR
Twin Falls County,ID,MINOR,2.0,MINOR
Johnson County,WY,MODERATE,3.0,MODERATE
Hughes County,SD,MINOR,2.0,MINOR
Hyde County,SD,MINOR,2.0,MINOR
Stillwater County,MT,MODERATE,3.0,MODERATE
Lehigh County,PA,LIMITED,1.0,LIMITED
Northampton County,PA,LIMITED,1.0,LIMITED
Grand Isle County,VT,LIMITED,1.0,LIMITED
Warren County,NJ,LIMITED,1.0,LIMITED
Columbia County,NY,LIMITED,1.0,LIMITED
Richland County,WI,LIMITED,1.0,LIMITED
Sheridan County,WY,MODERATE,3.0,MODERATE
Luzerne County,PA,LIMITED,1.0,LIMITED
Crawford County,MI,LIMITED,1.0,LIMITED
Jackson County,CO,MINOR,2.0,MINOR
Owyhee County,ID,MINOR,2.0,MINOR
Wayne County,UT,LIMITED,1.0,LIMITED
Walla Walla County,WA,LIMITED,1.0,LIMITED
Clear Creek County,CO,MINOR,2.0,MINOR
Mackinac County,MI,LIMITED,1.0,LIMITED
Logan County,CO,MINOR,2.0,MINOR
Finney County,KS,LIMITED,1.0,LIMITED
Cheyenne County,NE,MINOR,2.0,MINOR
Martin County,MN,MINOR,2.0,MINOR
Teton County,MT,MINOR,2.0,MINOR
Garden County,NE,MINOR,2.0,MINOR
Dawson County,MT,LIMITED,1.0,LIMITED
Hamlin County,SD,MINOR,2.0,MINOR
Franklin County,NY,LIMITED,1.0,LIMITED
Edmunds County,SD,MODERATE,3.0,MODERATE
Renville County,ND,LIMITED,1.0,LIMITED
Onondaga County,NY,LIMITED,1.0,LIMITED
Powder River County,MT,MINOR,2.0,MINOR
Lyon County,IA,MINOR,2.0,MINOR
Juab County,UT,MODERATE,3.0,MODERATE
Chenango County,NY,LIMITED,1.0,LIMITED
Morrison County,MN,LIMITED,1.0,LIMITED
Washington County,ID,MINOR,2.0,MINOR
Washington County,CO,MINOR,2.0,MINOR
Stutsman County,ND,MODERATE,3.0,MODERATE
Golden Valley County,ND,MODERATE,3.0,MODERATE
Niobrara County,WY,MINOR,2.0,MINOR
Pipestone County,MN,MINOR,2.0,MINOR
Grant County,WA,LIMITED,1.0,LIMITED
Renville County,MN,MINOR,2.0,MINOR
Hooker County,NE,MINOR,2.0,MINOR
Carbon County,UT,MINOR,2.0,MINOR
Hand County,SD,MINOR,2.0,MINOR
Lycoming County,PA,LIMITED,1.0,LIMITED
Latah County,ID,MINOR,2.0,MINOR
Yamhill County,OR,LIMITED,1.0,LIMITED
Lebanon County,PA,LIMITED,1.0,LIMITED
Glacier County,MT,MODERATE,3.0,MODERATE
Pershing County,NV,MODERATE,3.0,MODERATE
Mahnomen County,MN,MINOR,2.0,MINOR
Passaic County,NJ,LIMITED,1.0,LIMITED
Lake County,MT,MODERATE,3.0,MODERATE
Fulton County,NY,LIMITED,1.0,LIMITED
Hennepin County,MN,LIMITED,1.0,LIMITED
Oliver County,ND,MINOR,2.0,MINOR
Adams County,WA,LIMITED,1.0,LIMITED
Chittenden County,VT,LIMITED,1.0,LIMITED
Dunn County,ND,MODERATE,3.0,MODERATE
Spink County,SD,MINOR,2.0,MINOR
Windsor County,VT,LIMITED,1.0,LIMITED
Hill County,MT,MINOR,2.0,MINOR
Valley County,NE,MINOR,2.0,MINOR
Rolette County,ND,LIMITED,1.0,LIMITED
Treasure County,MT,MODERATE,3.0,MODERATE
Brown County,MN,MINOR,2.0,MINOR
Iron County,UT,LIMITED,1.0,LIMITED
Esmeralda County,NV,LIMITED,1.0,LIMITED
Keweenaw County,MI,LIMITED,1.0,LIMITED
Sanpete County,UT,MODERATE,3.0,MODERATE
Nicollet County,MN,MINOR,2.0,MINOR
Clark County,WA,LIMITED,1.0,LIMITED
Hodgeman County,KS,LIMITED,1.0,LIMITED
Hancock County,ME,LIMITED,1.0,LIMITED
Faulk County,SD,MINOR,2.0,MINOR
Houghton County,MI,LIMITED,1.0,LIMITED
Mineral County,MT,MODERATE,3.0,MODERATE
Butte County,SD,MINOR,2.0,MINOR
Douglas County,CO,MINOR,2.0,MINOR
Yellowstone County,MT,MODERATE,3.0,MODERATE
Conejos County,CO,MODERATE,3.0,MODERATE
San Juan County,UT,LIMITED,1.0,LIMITED
Gooding County,ID,MINOR,2.0,MINOR
Teton County,WY,MODERATE,3.0,MODERATE
Morton County,ND,MINOR,2.0,MINOR
Plumas County,CA,LIMITED,1.0,LIMITED
Washington County,VT,LIMITED,1.0,LIMITED
Meade County,SD,MINOR,2.0,MINOR
Rockland County,NY,LIMITED,1.0,LIMITED
Curry County,OR,LIMITED,1.0,LIMITED
Teller County,CO,MINOR,2.0,MINOR
Wasatch County,UT,MODERATE,3.0,MODERATE
Caribou County,ID,MODERATE,3.0,MODERATE
Douglas County,MN,MINOR,2.0,MINOR
Jefferson County,MT,MODERATE,3.0,MODERATE
Deer Lodge County,MT,MODERATE,3.0,MODERATE
Wheatland County,MT,MODERATE,3.0,MODERATE
Franklin County,ME,LIMITED,1.0,LIMITED
McPherson County,SD,MODERATE,3.0,MODERATE
Gunnison County,CO,MODERATE,3.0,MODERATE
Swift County,MN,MINOR,2.0,MINOR
Ravalli County,MT,MODERATE,3.0,MODERATE
Lincoln County,WA,LIMITED,1.0,LIMITED
Boundary County,ID,MINOR,2.0,MINOR
Bear Lake County,ID,MODERATE,3.0,MODERATE
Umatilla County,OR,LIMITED,1.0,LIMITED
Oglala Lakota County,SD,MINOR,2.0,MINOR
Valley County,MT,LIMITED,1.0,LIMITED
Charles Mix County,SD,MINOR,2.0,MINOR
Cedar County,NE,MODERATE,3.0,MODERATE
Kitsap County,WA,LIMITED,1.0,LIMITED
Petroleum County,MT,LIMITED,1.0,LIMITED
Whitman County,WA,LIMITED,1.0,LIMITED
Hunterdon County,NJ,LIMITED,1.0,LIMITED
Elbert County,CO,MINOR,2.0,MINOR
Pierce County,ND,LIMITED,1.0,LIMITED
Red Lake County,MN,MINOR,2.0,MINOR
Jefferson County,OR,LIMITED,1.0,LIMITED
Union County,SD,MINOR,2.0,MINOR
Deuel County,NE,LIMITED,1.0,LIMITED
O'Brien County,IA,LIMITED,1.0,LIMITED
Morrill County,NE,MINOR,2.0,MINOR
Mesa County,CO,MINOR,2.0,MINOR
Pike County,PA,LIMITED,1.0,LIMITED
Susquehanna County,PA,LIMITED,1.0,LIMITED
Addison County,VT,LIMITED,1.0,LIMITED
Delaware County,NY,LIMITED,1.0,LIMITED
Phillips County,MT,LIMITED,1.0,LIMITED
Mason County,WA,LIMITED,1.0,LIMITED
Missoula County,MT,MODERATE,3.0,MODERATE
Siskiyou County,CA,LIMITED,1.0,LIMITED
Day County,SD,MODERATE,3.0,MODERATE
Dolores County,CO,MINOR,2.0,MINOR
Arapahoe County,CO,MINOR,2.0,MINOR
Skagit County,WA,MAJOR,4.0,MAJOR
Columbia County,WI,LIMITED,1.0,LIMITED
Clearwater County,MN,MINOR,2.0,MINOR
Loup County,NE,MODERATE,3.0,MODERATE
Sheridan County,MT,MINOR,2.0,MINOR
Big Stone County,MN,MINOR,2.0,MINOR
Blue Earth County,MN,MINOR,2.0,MINOR
Strafford County,NH,LIMITED,1.0,LIMITED
Sublette County,WY,MINOR,2.0,MINOR
Union County,PA,LIMITED,1.0,LIMITED
Tripp County,SD,MINOR,2.0,MINOR
Sanborn County,SD,MINOR,2.0,MINOR
Aroostook County,ME,LIMITED,1.0,LIMITED
Eddy County,ND,MINOR,2.0,MINOR
Pierce County,WA,LIMITED,1.0,LIMITED
Lincoln County,ID,MINOR,2.0,MINOR
Corson County,SD,MODERATE,3.0,MODERATE
Gregory County,SD,MINOR,2.0,MINOR
Camas County,ID,MODERATE,3.0,MODERATE
Goshen County,WY,MINOR,2.0,MINOR
Hettinger County,ND,MINOR,2.0,MINOR
Grand County,UT,LIMITED,1.0,LIMITED
Tooele County,UT,MODERATE,3.0,MODERATE
Polk County,MN,MINOR,2.0,MINOR
Redwood County,MN,MINOR,2.0,MINOR
Canyon County,ID,MINOR,2.0,MINOR
Daniels County,MT,MINOR,2.0,MINOR
Gray County,KS,LIMITED,1.0,LIMITED
Somerset County,ME,LIMITED,1.0,LIMITED
Sioux County,IA,LIMITED,1.0,LIMITED
Grant County,SD,MINOR,2.0,MINOR
Marshall County,SD,MODERATE,3.0,MODERATE
Thurston County,WA,LIMITED,1.0,LIMITED
Knox County,NE,MODERATE,3.0,MODERATE
Prairie County,MT,MINOR,2.0,MINOR
Orange County,NY,LIMITED,1.0,LIMITED
Schenectady County,NY,LIMITED,1.0,LIMITED
Perkins County,NE,MINOR,2.0,MINOR
Grand County,CO,MINOR,2.0,MINOR
Carver County,MN,MINOR,2.0,MINOR
Washington County,OR,LIMITED,1.0,LIMITED
Madison County,MT,MODERATE,3.0,MODERATE
Belknap County,NH,LIMITED,1.0,LIMITED
Franklin County,WA,LIMITED,1.0,LIMITED
Windham County,VT,LIMITED,1.0,LIMITED
Orleans County,VT,LIMITED,1.0,LIMITED
Franklin County,MA,LIMITED,1.0,LIMITED
Cherry County,NE,MINOR,2.0,MINOR
Beaverhead County,MT,MODERATE,3.0,MODERATE
Skamania County,WA,MAJOR,4.0,MAJOR
Lenawee County,MI,LIMITED,1.0,LIMITED
Roseau County,MN,MINOR,2.0,MINOR
